Timestamp	Student ID Number	Grade Level	Name of Mission	What did you most like about the mission?	Describe the easiest part of the mission.	Describe the most difficult part of the mission.	What do you think can be improved about the mission?	On a scale of 1-10, how well do you feel you communicated with your fellow Infinity Knights?	On a scale of 1-10, how well do you feel other Infinity Knights communicated with you?	On a scale of 1- 10, how much did you trust your fellow Infinity Knights to complete their assigned tasks in a timely manner?	Give 1-2 examples during the mission that helped increase/decrease the trust between you and your fellow Infinity Knights? (please don’t list names, only positions).	Give a situation in which you had to use problem solving skills during the mission.	During the mission, when did you have to be creative in coming up with a solution to a problem?	DreamFlight believes that working as a team is an important component for success. After completing this mission, describe three personality traits a great Infinity Knight would have.	Rate the amount of teamwork used to complete the mission, as compared to the amount of teamwork when working within a classroom	What job/role did you apply for on this mission? (first choice)	Did you get the job/role for which you applied?	Do you feel like you want to learn more about this job/role in the future after you have undertaken this role? 	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	If you didn’t get the job you wanted, do you think that affected how you did your job?	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world, would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	Provide two specific examples as to how this mission tied directly in to what you have been learning with class.	What is something new that you have learned having completed the mission?
2018/03/12 2:39:11 PM AST	421497	8th	Contaminant	I liked the storyline of the mission the most.	The easiest part of the mission was navigating through the river. 	The most difficult part of the mission was communicating with other stations, in order to fix problems.	There needed to be better communication between stations, and a better understanding of the mission.	4	1	5	I had little trust in my fellow infinity knights, because part of my station was enabled and the hacker did not fix it in a timely manner.	I had to use problem solving during the mission when the crew began getting sick and I had to figure out the reason why.	I had to be creative when making sure no one in the crew got dangerously sick.	Understanding, hard- working, and efficient.	3	Doctor	Yes	Yes	I want to go into the medical field when I am older, so I enjoyed my role as the doctor.	I was interested in the captain role as well, because I I have been told I have good leadership skills and traits,	Intelligent, quick thinking, and kind.	Yes	I did, because I did not the crew would die, and we would fail are mission.	Yes	I do because if someone did not contribute to the mission then they would make it harder for the rest of the crew to succeed.									The fish tied in with our lessons in biology, and and the shortage of food and fish  tied in with our lessons about extinctions.	Communication is key in succeeding at group work.
2018/03/12 2:39:16 PM AST	1501384	8th	Contaminant	I enjoyed the teamwork everyone put in to help one another with their jobs the most.	The easiest part of the mission was handling only 1 job and not being responsible for several jobs.	The most difficult part of the mission was not being able to do my part when the hacker was being hacked.	I think to improve the mission the hacker need to work better so we all can do our jobs.	3	5	8	The doctor helped keep us alive.	When I had to run a bunch of scans on animals. I was the Deck Chief.	Never 	Bravery, hard working, communicative	3	Deck Chief	Yes	No	No because I was absent the day we got to pick jobs.	Communications because I’ve been doing it the last 2 years.	They would need to know what they were doing.	Yes	Yes because if I don’t do my part the ships closer to not completing the mission.	Yes	Yes because everyone had to do their job or the mission would not get completed.									It tied in with the space lesson we did and the wind turbine project.	I learned that working in something like that would be super hard.
2018/03/12 2:39:49 PM AST	1505874	8th	Contaminant	I Like how we all had to communicate and it was like a crew effort. it wasn’t just you sit there and do your job and that’s it. We all talked to each other and all had fun.	The easiest part was driving down the river looking for fish and the problem.	The most difficult part of the mission was having to help the floods the regenerating and all talking to hear the information we had to know because it was kind of hard to hear.	I think we can communicate more and help each other instead of getting upset.	2	2	8	The navigator did really good with saying what’s happening and doing his job really well. And also the captain he was helping me and everyone else with stuff if they didn’t know what to do.	When we found out what was making the fish die we really didn’t know how to solve it.	Doing my job I think because I had to fix dieffrent things and give out codes and had to figure out things to do to help other people.	I think they should be friendly they should be able to communicate and they should be creative 	3	Security Chief	No									Yes	If your really good at computers and you signed up for hacker and you didn’t get it and then you might’ve got something your not good at.	Pilot because I think it would be fun and interesting to see how it works.	They would have to be really smart 	Yes	Because I don’t want to be the one who messes it up.	Yes	It’s not just a one person job we needed everyone 	We have learned about pollution and fish and the environment and how it has to be clean to be able to live 	I have learned that nasty water can kill fish and that it has other affects.
2018/03/12 2:40:22 PM AST	421444	8th	Contaminant	taking photos of the crew and working together 	walking around and taking pictures 	trying to test the water and to get away from the robot in the water 	being clearer with informaton 	6	6	8	trust was increased when we finally tested the water and when we successfully completed the mission	when we had to test the water for the governor 	when we had to get away from the robot in the river 	confidence, friendliness, intelligence 	3	Videographer	Yes	Yes	i love all types of photography and it is very interesting to me 	communications and security guard because i can pay attention when something is needed to be done 	to be good with a camera and have an interest in taking photos 	Yes	i get nervous about everythin and this would be the first time i ran through and actually completed a mission in the simulator 	Yes	everyone had something special about their job that helped the team complete the mission 									we are going to be lesrning about pollution and its effects on the earth 	learning to communicate with my class mates more 
2018/03/12 2:41:24 PM AST	701065	8th	Contaminant	What I liked most about the mission was the enviornment that we were stationed in.	The easiest part of the mission was putting in the numbers into the keypad when we scanned the water.	The most diffucult part of the mission was how fast paced the whole thing was. We were constantly fixing stuff for the mission.	What could be improved would be how we handled the hardships. We were kind of rushing to finish. Also we didn't know how to catch the fish.	5	6	8	The captain and my enginneer partner I could trust because they helped me fix the broken things on the ship when I needed the help.	When multiple tools had to be fixed, that was very stressful. We were rushing to fix everythig in a timely manner.	When me and my partner had to decide who would fix what and when or if we would just do it together.	Bravery, Patience, and Knowledge	3	Engineers	Yes	No	I would not enjoy engineering as a career because it is not something that interests me.	I also seemed interested in the communications because I have never been that job and I thought it would be fun to mix it up a little and try something new.	Very loud and talkative so that the captain can hear all the incoming messages.	Yes	Yes because one second everything was working properly and then in the blink of an eye, two stations were all ready in the orange-yellow stage.	Yes	Every job is critical because they all played a special role in helping the crew find the fish.									The fish were being polluted out of their homes and learning how to filter water without getting an overwhelming amount of pollution.	I learned how difficult it is to enginneer and take care of the whole ship and in a timely fashion.
2018/03/12 2:43:26 PM AST	1500853	8th	Contaminant	I liked the part where we had to communicate with each other. We had to share numbers to each other in order to complete the scan of the water.	The easiest part of the mission would be when we 	The most difficult part of the mission would be when we were being attacked. The ship was so fast and it was hard to defend ourselves.	I think they could improve the communication. I really enjoyed the part when we shared the numbers to complete a scan. I believe they should make more parts where you have to depend on each other for passwords.	5	8	6	The trust was increased when the captain would check on my station or when someone would ask me to fix them( I was the doctor).	At first I did not understand the filter at my station but once I looked at it and analyzed it I understood that I had to cleanse the filter of radiation and other things. 	I had to be creative when fixing a crew member. Their “health” would not be normal so I would have to be creative in which medicine I have them. 	They would have to be brave, kind, and hardworking. 	4	Doctor	Yes	Yes	Yes I think I like helping people more and making sure they are not sick. In the future I would even consider becoming a doctor. 	I seemed interested in engineer because they seem like they fix a lot of things and I would very much enjoy that. 	An engineer would have to be smart and a good problem solver in the real world to be successful. 	Yes	If I did not fix someone in certain amount of time their health would keep declining. 	Yes	Yes without certain positions not all of our operations would run smoothly. 									We did a filtration project in class and that tied in with the water. We also learned a lot about organisms this year and that ties in with the fish. 	That team work is very important
2018/03/12 2:45:05 PM AST	421397	8th	Contaminant	I liked how we all worked together and pushed each other to achieve excellence.	The easiest part of the mission was transporting the fish to the other side of the river.	The most difficult part of the mission was for me as the pilot it would not let me steer most of the time and that was very frustrating. I do not know if that was a bug in the system or if it was something that happened during the mission but it ended up hurting my team and how we performed.	I think that the mission would be more explanatory because we had no clue how to get the fish to the other side until we asked the computer, but we did not even know that the computer was even a thing until one of the calls told us about it.	8	5	9	The engineers did not do anything until something went wrong which was very bad because it almost led our ship to break. Also, there were some jobs that yelled at me personally for not knowing how to do my job even though they had no clue how to do theres either.	The navigator and I had to work together to figure how fast we needed to go and to where so she directed me while i drove us to our appropriate place when we needed to be there.	We didnt know that the computer was a thing until mid mission so we had to create our own assumptions about what to do.	Responsible, acceptance, and leadership 	5	First Office	No									No	I got my intial job but i was switched because we did not have enough people therefore i was very understanding and took on my new role.	Doctor because i was it previously and it was a lot of fun and i like to help people.	They would need manors because without them people would not respect you.	Yes	Yes because people yelled at me the whole time and without me they would be lost so that added more pressure towards me.	Yes	Yes because without every person on the mission we wouldnt be able to successfully finish what we needed to.	We learned that teamwork in both the wind turnine and the mission was very important. Also, we had to help each other when we got stuck leading us to learn teamwork skills.	You need to have a lot of teamwork to succeed.
2018/03/12 2:45:09 PM AST	1503637	8th	Contaminant	when the dragon killed flyes	Getting into the sea	Getting red of the flyes	People's health	10	10	7	Increases was when we got red of the flyes,decrease was when people's health was very low.	When the ship got out of the sea.	When we did not know anything about the calling President.	Communication,teamwork,trust	4	Hacker	Yes	No	I chose no because i want to be an engineer.	Biologist because you could tame the dragon.	Good Communication with the People's	Yes	Because i want to do more mission like that	No	I say no because its not like a real mission									I have learing in class how the wind turbans work, how to creat them	The company was not effecting the fish
2018/03/12 2:46:14 PM AST	421428	8th	Contaminant	I liked the feeling when we completed the mission the best because I felt accomplished.	The easiest part was the beginning when nothing was really happening yet.	The most difficult was the end when all of the systems were failing and we were frantically trying to get them fixed. 	I think that the mission could have better picture to make it seem more realistic to have a better experience.	9	7	7	The captain was not always paying attention to what was going on and several people were not at the stations when they should have been.	When all of the systems were failing I had to figure out which was the most important to fix first.	When the systems were failing I had to figure out how to split the work up between me and my partner.	Three traits would be focused, hardworking, and trustworthy.	4	Engineers	Yes	Yes	There are some things I am not as confident with that I want to get better at.	I was not interested in the other roles because I did not think I would like them or have fun doing them.	They need to be able to work fast and stay focused. 	Yes	All of the systems were failing and it is not easy to get them fixed quickly.	Yes	Without one job the whole mission could have failed because everything was needed to complete the mission.									We did a lab about the filtration of water and the water in the mission was contaminated so it tied together in that way.	I learned that the answers always aren’t right in front of you and you need to work hard to get the task done.
2018/03/12 2:47:05 PM AST	421392	8th	Contaminant	I liked how we worked as a team and helped each other out	The easiest part of the mission was collecting and transferring the fish to the other side of the river 	The most difficult part of the mission was the ship was disabled and our engineers had to work together to get the stealth back up and the other parts 	I think we could have had better team skills as individuals 	9	7	8	the engineers because they worked slower than we needed them to and the communications because she communicated very very well 	Whenever our ship was disabled we had to come up with a way to fix it in a little amount of time 	Whenever the governor called we had to come up with a solution to the question quick if we didn’t know what the answer was also whenever the fish were the ship flew out of the water and we had to hurry and come up with a way to find the fish again	Responsibility, understanding, teamwork	4	Captain	Yes	Yes	I would like to learn more about this job. I would like to know more background about the mission and figure out a way to remember so I could answer the questions more easily and faster	Engineers because they had a very important task and I thought it would be a fun job and the doctor because I think it would be a very fun job and they had to save all the crew members and it would be very interesting 	Trustworthy, reliable, and responsibility 	Yes	Whenever we had to answer the call and got asked to do something we had to answer and do it very quickly. I felt a lot of pressure doing this job although it was very fun 	Yes	Every one had a specific job that had to be contributed during the mission and would help us succeed 									One example is during the wind turbine is we had to have teamwork and understanding another example would be when we cleaned the water with using rocks and grains we had to have teamwork. 	Something new that I learned having completed the mission is you need a lot of teamwork and responsibility to succeed something 
2018/03/12 2:47:31 PM AST	1500256	8th	Contaminant	I liked the challenge of finding a way to properly communicate with my crewmates while still staying well functioning 	The easiest part of the mission was going downstream to analyze the river	The hardest part was when our ship was spotted and we had to fight the companys ships 	I believe the mission can be sped up a small amount because it goes very slowly at the begging and does not teach much, it could also have less times scanning the river as we did it about 2-3 times	4	4	1	The captain had misquoted the rivers results thus we needed to rescan the ruver again. The pilot had kept stating along wuth other posistions they had no idea what they were doing.	We had started to fight the enemys afyer being caught and i had to manage the power with a very damaged reactor so i had to chose between tactical, engines ,shields or sensors.	We had to figure out a way to catch a fish(we misunderstood the goevenor who had stated they need the fish as we needed to catch them however in reality the govenor genuinely needed the fish for survival), it was very diffucult however i rememberd spotting my tractor beam mode on the versabeam and i told the pilit to point us at the fish and i caught it.	Good listening, communication, leadership. 	5	Physicist	Yes	Yes	Being a physicist may ve very interesting and i believe it could very potentially be something im interested in.	Being an engineer is also very interesting because i love to solve problems and fix things when i can	I believe they would need to be very intelligent and adept at solving problems.	Yes	If i lose focus the entire mission could fail and we may completly lose all power	No	I believe the communications officer was not very important at all as i belive that job is very simple and not extremely important however i may be incorrect as i am not fully aware of the communcators job details.									We were learning how to be creative and work as a team to make a windmill which id exactly lile what we experienced in the mission except instead of making something it was completing our mission together. We also learned how hard water is to filter without proper tools just like the way the river was polluted and it affected the whole town, i have a new appreciation for my water and other gifts.	I learned that waterfalls can produce a fresh water area where even if the water its going into the polluted fish may live healthily in those areas.
